game_common_ok,OK
game_common_fish,Fish
game_common_pearl,Pearl
game_common_pearls,Pearls
game_common_coins,Coins
game_common_finish,Finish
game_common_minute,Minute
game_common_decor,decor
game_common_prop,prop
game_common_loading,Loading
game_common_time_days_left,%i Days Left
game_common_time_hours_left,%i Hours Left
game_common_dig,Dig
game_common_buy,Buy
breedingTV_breeding_label,Breeding
breedingTV_place_egg_label,Lay Egg
breedingTV_breed_label,Breed
breedingTV_locked_tank_title,Unlock Another Tank
breedingTV_locked_tank_body,There's no room for this egg but you can unlock additional breeding tanks by swiping to the left.
breedingTV_speedup_popup_title,Speed up?
breedingTV_speedup_popup_body,Your fish will finish breeding in:
breedingTV_more_pearls_popup_title,You need more treasure!
breedingTV_more_pearls_popup_body,In order to rush your fish you need more pearls.
breed_popup_no_breedable_title,No fish to breed!
breed_popup_no_breedable_body,"Oh no!  You don't currently have any fish that you can breed.  Try again once you have two happy, well-fed adults."
chest_speedup_popup_title,Speed up?
chest_speedup_popup_body,Your chest will finish upgrading in:
chest_upgrading_label,Upgrading
cribInfo_hatch_button,Hatch
cribInfo_unlock_button,Unlock
cribInfo_done_label,Finished
cribInfo_growing_label,Growing
cribInfo_speedup_popup_title,Speed up?
cribInfo_speedup_popup_body,Your fish will finish hatching in:
spinning_wheel_loading_label,Loading
fishInfo_friend_likeness_label,%s \ris just like this fish!
fishInfo_speedup_training_title,Finish Training?
fishInfo_speedup_training_body,Your fish will finish training in:
fishInfo_speedup_growing_title,Finish Growing?
fishInfo_speedup_growing_body,Your fish will finish growing in:
fishInfo_adult_meter_label,Training
fishInfo_meter_label,Hungry!
fishInfo_baby_meter_label,Growing
fishInfo_train_button,Train
fishInfo_feed_me_label,Feed Me!
fishInfo_adult_label,Adult
fishInfo_hungry_label,Hungry
fishInfo_hungry_in_label,Hungry In 
fishInfo_popup_unable_train_title,Once you have a fully-fed adult fish you can promote it to make more coins!
fishInfo_popup_unable_train_body,Not Yet!
fishInfo_popup_unable_buy_title,"You can't purchase this fish yet, but keep an eye out for it!"
fishInfo_popup_unable_buy_body,Not Yet!
fishInfo_popup_dislike_title,Dislike Fish In Tank
fishInfo_popup_dislike_body,Your %s is not helping because there is a %s Fish in your tank.
fishInfo_popup_fish_name,%s Fish
fish_levelup_popup_title,%s has gained a level!
generic_popup_fb_free_title,Did you know you can earn FREE pearls?
generic_popup_fb_free_body,Earn FREE Pearls!
popup_breed_button,Breed
purchase_popup_breeding_time_label,Breeding Time: %s
purchase_popup_buy_now_label,BUY NOW FOR 
purchase_popup_default_title,Confirm Purchase
purchase_popup_default_body,You are about to purchase
purchase_popup_no_room_title,No room for fish!
purchase_popup_no_room_body,Oh no!  You ran out of room in your tank for fish!  Level up to unlock new tanks to hold more fish.
purchase_popup_new_tank_title,No room for fish!
purchase_popup_new_tank_body,Oh no!  You ran out of room in your tank for fish!  Let's drop by the tank store and buy a new tank
levelup_popup_reward_title,You got a pearl!
levelup_popup_tank_reward_title,Tank unlocked!
levelup_popup_tank_reward_description,"Wow, nice!  You've just unlocked "
levelup_popup_tank_reward_string,New Tank
quest_popup_new_quest_label,NEW
hud_profile_button,Profile
hud_move_button,Move
hud_sell_button,Sell
hud_hungry_label,Hungry!
hud_training_label,Training
hud_flip_button,Flip
hud_collect_button,Collect
hud_growing_label,Growing
hud_hungry_in_label,Hungry In 
hud_upgrade_button,Upgrade
hud_unhappy_label,Unhappy!
hud_move_help_label,Tap and hold to move decorations.
hud_tank_decor_label,%i% Tank Decor
hud_breeding_decor_label,Breeding Tank Decor
hud_upgrading_label,Upgrading
hud_chest_title,Treasure Chest
fish_model_upset,Upset
fish_model_normal,Normal
fish_model_pleased,Pleased
fish_model_happy,Happy
fish_model_ecstatic,Ecstatic
facebook_baby_hatched_msg,I just hatched a baby %s fish in %s!
facebook_baby_hatched_caption,Can you breed the rarest fish of them all?
sand_paper_coin_cost_label,Free!
sand_paper_screen_title,Sand & Wallpaper
settings_popup_notifications_label,Notifications
settings_popup_support_label,Community & Support
settings_popup_notifications_sub_label1,Breeding
settings_popup_notifications_sub_label2,Feeding
settings_popup_notifications_sub_label3,Building
settings_popup_support_sub_label1,Forums
settings_popup_support_sub_label2,Facebook
settings_popup_support_sub_label3,Twitter
settings_popup_support_sub_label4,E-mail
settings_popup_support_sub_label5,Report a Bug
settings_popup_support_sub_label6,FAQ
settings_popup_support_button_label1,Visit
settings_popup_support_button_label2,Send
settings_popup_support_button_label3,Read
settings_popup_support_button_label4,Hide
settings_popup_version_label,Version:%s:%s
social_dig_title,Dig for Treasure
social_dig_description,Select one of your fish to dig with
social_cant_dig_popup_body,You can't dig with this fish because it's busy breeding.
social_cant_dig_popup_title,Choose another fish
social_dig_no_toy_label,NEEDS TOY
social_popup_divider_label1,%s Friends
social_popup_divider_label2,Facebook Friends
social_popup_divider_label3,Other Friends
social_popup_visit_button,Visit
social_popup_gift_button,Gift
social_popup_tag_button,Tag
social_popup_invite_button,Invite
social_popup_choose_button,Choose
social_popup_send_button,Send
social_popup_gifts_left_label,%i %s available to give today
social_popup_gift_label,gift
social_popup_gift_plural_label,gifts
social_popup_next_page_label,Next Page
social_popup_prev_page_label,Prev Page
social_popup_cant_load_friend_tank_title,Sorry!
social_popup_cant_load_friend_tank_body,Could not load your friend's tank.
store_decor_descriptor_tag1,Animated
store_decor_title,Decorations
store_fish_locked_label,Locked
store_fish_title,Baby Fish
store_popup_new_button,New!
store_screen_owned_label,Owned
store_screen_limited_label,Limited
store_screen_new_label,New!
store_tank_waiting_label,Waiting
store_tank_level_label,Level %d
store_tank_title,Tanks
store_tank_popup_locked_title,Higher Level Needed
store_tank_popup_locked_body,In order to purchase this tank you need to be a higher level.
store_tank_popup_more_coins_title,You need treasure!
store_tank_popup_more_coins_body,In order to purchase this tank you need more coins.  Pick some up from the Treasure Store!
store_tank_popup_prev_tank_title,Build the Previous Tank
store_tank_popup_prev_tank_body,In order to start building this tank you need to build the previous one.
tank_nav_you_are_here_label,YOU ARE HERE!
treasure_hunt_decor_rarity_string1,Junk
treasure_hunt_decor_rarity_string2,Common
treasure_hunt_decor_rarity_string3,Uncommon
treasure_hunt_decor_rarity_string4,Rare
treasure_hunt_decor_rarity_string5,Ultra Rare
treasure_hunt_item_descriptor_pearl,Pearl
treasure_hunt_item_descriptor_decor,Decor
treasure_hunt_item_descriptor_toy,Toy
treasure_hunt_decor_label, +%i% Tank Decor
